Report ID,Report Channel,Customer Name,State Key,Ticket Open Time,Ticket Resp Time,Issue Res Time,Fault Type,Operator,Ticket Close Time,Ticket Status,Business Status
AXA-20201231-1101-WLESS,CH01,Access,NGS001, 2020/12/31 17:07:04,2020/12/31 17:10:20,2020/12/31 20:44:42,#N/A,Tunde, ,Active,Open
AXA-20201230-1102-WLESS,CH01,Access,NGS001, 2020/12/30 19:04:06,2020/12/30 19:13:18,2020/12/30 19:46:30,Customers End,Sekina, 2021/01/01 13:27:17,Completed,Closed
AXA-20201229-1103-WLESS,CH01,Access,NGS001, 2020/12/29 18:28:04,2020/12/29 18:37:52,2020/12/29 20:10:11,Customers End,Sherifat, 2020/12/30 13:20:43,Completed,Closed
AXA-20201229-1104-HSE,CH01,Arik,NGS002, 2020/12/29 14:49:16,2020/12/29 14:58:23,2020/12/29 16:03:56,Line damage,Kingsley, 2020/12/29 21:34:31,Completed,Closed
AXA-20201231-1105-HSE,CH01,Arik,NGS003, 2020/12/31 21:43:03,2020/12/31 21:47:39,2020/12/31 22:20:58,Customers End,Kola, 2021/01/02 06:54:01,Completed,Closed
AXA-20201231-1106-HSE,CH01,Arik,NGS003, 2020/12/31 10:34:09,2020/12/31 10:37:57,2020/12/31 12:42:27,Customers End,Tunde, 2020/12/31 14:36:59,Completed,Closed
AXA-20201231-1107-HSE,CH01,Arik,NGS003, 2020/12/31 09:37:03,2020/12/31 09:47:46,2020/12/31 13:33:02,Customers End,Tunde, 2020/12/31 22:04:39,Completed,Closed
AXA-20201231-1108-HSE,CH01,Arik,NGS003, 2020/12/31 08:31:04,2020/12/31 08:40:34,2020/12/31 14:14:19,Customers End,Habeeb, 2021/01/01 07:25:36,Completed,Closed
AXA-20201231-1109-HSE,CH01,Arik,NGS003, 2020/12/31 07:52:07,2020/12/31 07:59:52,2020/12/31 12:15:13,Customers End,John, 2020/12/31 21:59:53,Completed,Closed
AXA-20201230-1110-HSE,CH01,Arik,NGS003, 2020/12/30 23:07:04,2020/12/30 23:15:18,2020/12/31 00:42:45,Customers End,Amelia, 2020/12/31 06:56:48,Completed,Closed
AXA-20201230-1111-HSE,CH01,Arik,NGS003, 2020/12/30 10:43:06,2020/12/30 10:43:15,2020/12/30 14:46:01,Customers End,Habeeb, 2020/12/30 11:18:14,Completed,Closed
AXA-20201230-1112-HSE,CH01,Arik,NGS003, 2020/12/30 09:28:04,2020/12/30 09:28:43,2020/12/30 13:52:19,Customers End,John, 2020/12/30 11:00:57,Completed,Closed
AXA-20201230-1113-HSE,CH01,Arik,NGS003, 2020/12/30 04:28:09,2020/12/30 04:33:37,2020/12/30 09:14:13,Customers End,Popoola, 2020/12/30 05:10:01,Completed,Closed
AXA-20201229-1114-HSE,CH01,Arik,NGS003, 2020/12/29 22:37:03,2020/12/29 22:39:20,2020/12/30 02:11:30,Customers End,Paul, 2020/12/30 05:07:38,Completed,Closed
AXA-20201231-1115-HSE,CH01,Bates,NGS004, 2020/12/31 14:49:04,2020/12/31 14:58:11,2020/12/31 14:59:26,#N/A,John, ,Active,Open
AXA-20201231-1116-HSE,CH01,Bates,NGS004, 2020/12/31 10:34:06,2020/12/31 10:43:18,2020/12/31 14:11:40,Routine Service,Sekina, 2020/12/31 14:37:33,Completed,Closed
AXA-20201231-1117-HSE,CH01,Bates,NGS004, 2020/12/31 09:13:03,2020/12/31 09:19:20,2020/12/31 14:31:33,Routine Service,Tunde, 2021/01/01 07:26:00,Completed,Closed
AXA-20201230-1118-HSE,CH01,Bates,NGS004, 2020/12/30 18:19:07,2020/12/30 18:19:12,2020/12/30 20:34:58,Routine Service,Bola, 2021/01/02 06:36:00,Completed,Closed
AXA-20201229-1119-HSE,CH01,Bates,NGS004, 2020/12/29 18:22:04,2020/12/29 18:28:17,2020/12/29 23:59:44,Customers End,John, 2020/12/30 17:23:54,Completed,Closed
AXA-20201229-1120-HSE,CH01,Bates,NGS004, 2020/12/29 15:37:04,2020/12/29 15:43:42,2020/12/29 15:47:07,Customers End,Vitus, 2020/12/30 05:50:43,Completed,Closed
AXA-20201229-1121-HSE,CH01,Bates,NGS004, 2020/12/29 11:52:06,2020/12/29 12:01:18,2020/12/29 12:34:44,Customers End,Goodluck, 2020/12/29 23:01:50,Completed,Closed
AXA-20201230-1122-WLESS,CH01,Cassava,NGS005, 2020/12/30 21:55:03,2020/12/30 21:55:39,2020/12/30 22:06:49,Customers End,Jennifer, 2020/12/31 07:53:49,Completed,Closed
AXA-20201229-1123-WLESS,CH01,Cassava,NGS005, 2020/12/29 23:22:06,2020/12/29 23:29:18,2020/12/30 00:53:06,Customers End,Vitus, 2020/12/30 12:11:19,Completed,Closed
AXA-20201231-1124-WLESS,CH01,Cassava,NGS006, 2020/12/31 04:28:09,2020/12/31 04:36:27,2020/12/31 09:21:46,Customers End,Bola, 2020/12/31 21:41:37,Completed,Closed
AXA-20201230-1125-WLESS,CH01,Cassava,NGS007, 2020/12/30 21:22:03,2020/12/30 21:24:12,2020/12/30 23:51:16,Line damage,Goodluck, 2020/12/31 07:54:12,Completed,Closed
AXA-20201231-1126-WLESS,CH01,Cassava,NGS001, 2020/12/31 16:49:03,2020/12/31 16:50:37,2020/12/31 20:54:02,#N/A,Atiku, ,Active,Open
AXA-20201230-1127-WLESS,CH01,Cassava,NGS001, 2020/12/30 18:19:09,2020/12/30 18:26:32,2020/12/30 18:37:52,Routine Service,Tunde, 2020/12/31 20:08:45,Completed,Closed
AXA-20201229-1128-WLESS,CH01,Cassava,NGS001, 2020/12/29 18:58:03,2020/12/29 18:59:22,2020/12/29 21:04:48,Customers End,John, 2020/12/30 13:15:37,Completed,Closed
AXA-20201231-1129-WLESS,CH01,Cassava,NGS001, 2020/12/31 01:34:03,2020/12/31 01:44:22,2020/12/31 03:13:01,Routine Service,John, 2020/12/31 21:22:36,Completed,Closed
AXA-20201231-1130-WLESS,CH01,Cassava,NGS008, 2020/12/31 00:34:03,2020/12/31 00:42:38,2020/12/31 02:04:13,Customers End,Kingsley, 2020/12/31 21:26:25,Completed,Closed
AXA-20201231-1131-WLESS,CH01,Cassava,NGS009, 2020/12/31 23:04:11,2020/12/31 23:12:32,2021/01/01 04:36:11,Line damage,Amelia, 2021/01/01 06:24:11,Completed,Closed
AXA-20201231-1132-WLESS,CH01,Cassava,NGS009, 2020/12/31 18:52:05,2020/12/31 19:01:50,2020/12/31 20:34:38,hardware failure,Amelia, 2020/12/31 22:31:58,Completed,Closed
AXA-20201231-1133-WLESS,CH01,Cassava,NGS010, 2020/12/31 21:28:05,2020/12/31 21:32:19,2021/01/01 00:37:59,Customers End,Boye, 2021/01/02 06:33:20,Completed,Closed
AXA-20201230-1134-WLESS,CH01,Cassava,NGS010, 2020/12/30 21:34:06,2020/12/30 21:34:25,2020/12/31 01:00:04,Customers End,Amelia, 2020/12/31 07:54:14,Completed,Closed
AXA-20201229-1135-WLESS,CH01,Cassava,NGS010, 2020/12/29 20:40:07,2020/12/29 20:45:30,2020/12/30 00:50:53,Customers End,Sheg, 2020/12/30 13:06:54,Completed,Closed
AXA-20201230-1136-WLESS,CH01,Cassava,NGS011, 2020/12/30 18:22:30,2020/12/30 18:24:54,2020/12/30 21:54:26,hardware failure,Amelia, 2020/12/30 23:04:29,Completed,Closed
AXA-20201230-1137-WLESS,CH02,Cassava,NGS005, 2020/12/30 20:38:50,2020/12/30 20:48:33,2020/12/31 01:12:02,Customers End,Goodluck, 2020/12/31 07:54:41,Completed,Closed
AXA-20201230-1138-WLESS,CH02,Cassava,NGS011, 2020/12/30 20:02:27,2020/12/30 20:05:50,2020/12/30 22:35:25,hardware failure,Jonathan, 2020/12/30 23:50:45,Completed,Closed
AXA-20201231-1139-WLESS,CH01,Cassava,NGS012, 2020/12/31 06:10:04,2020/12/31 06:15:49,2020/12/31 07:24:51,Power Loss,Bola, 2020/12/31 21:50:09,Completed,Closed
AXA-20201230-1140-WLESS,CH01,Cassava,NGS012, 2020/12/30 09:37:06,2020/12/30 09:42:29,2020/12/30 11:23:09,Support network failures,Bola, 2020/12/30 11:59:21,Completed,Closed
