,report_id,report_channel,customer_name,state_key,ticket_open_time,ticket_resp_time,issue_res_time,fault_type,operator,ticket_close_time,ticket_status,business_status
1,AXA-20201230-1102-WLESS,CH01,Access,NGS001,2020-12-30 19:04:06,2020-12-30 19:13:18,2020-12-30 19:46:30,Customers End,Sekina,2021-01-01 13:27:17,Completed,Closed
2,AXA-20201229-1103-WLESS,CH01,Access,NGS001,2020-12-29 18:28:04,2020-12-29 18:37:52,2020-12-29 20:10:11,Customers End,Sherifat,2020-12-30 13:20:43,Completed,Closed
3,AXA-20201229-1104-HSE,CH01,Arik,NGS002,2020-12-29 14:49:16,2020-12-29 14:58:23,2020-12-29 16:03:56,Line damage,Kingsley,2020-12-29 21:34:31,Completed,Closed
4,AXA-20201231-1105-HSE,CH01,Arik,NGS003,2020-12-31 21:43:03,2020-12-31 21:47:39,2020-12-31 22:20:58,Customers End,Kola,2021-01-02 06:54:01,Completed,Closed
5,AXA-20201231-1106-HSE,CH01,Arik,NGS003,2020-12-31 10:34:09,2020-12-31 10:37:57,2020-12-31 12:42:27,Customers End,Tunde,2020-12-31 14:36:59,Completed,Closed
6,AXA-20201231-1107-HSE,CH01,Arik,NGS003,2020-12-31 09:37:03,2020-12-31 09:47:46,2020-12-31 13:33:02,Customers End,Tunde,2020-12-31 22:04:39,Completed,Closed
7,AXA-20201231-1108-HSE,CH01,Arik,NGS003,2020-12-31 08:31:04,2020-12-31 08:40:34,2020-12-31 14:14:19,Customers End,Habeeb,2021-01-01 07:25:36,Completed,Closed
8,AXA-20201231-1109-HSE,CH01,Arik,NGS003,2020-12-31 07:52:07,2020-12-31 07:59:52,2020-12-31 12:15:13,Customers End,John,2020-12-31 21:59:53,Completed,Closed
9,AXA-20201230-1110-HSE,CH01,Arik,NGS003,2020-12-30 23:07:04,2020-12-30 23:15:18,2020-12-31 00:42:45,Customers End,Amelia,2020-12-31 06:56:48,Completed,Closed
10,AXA-20201230-1111-HSE,CH01,Arik,NGS003,2020-12-30 10:43:06,2020-12-30 10:43:15,2020-12-30 14:46:01,Customers End,Habeeb,2020-12-30 11:18:14,Completed,Closed
11,AXA-20201230-1112-HSE,CH01,Arik,NGS003,2020-12-30 09:28:04,2020-12-30 09:28:43,2020-12-30 13:52:19,Customers End,John,2020-12-30 11:00:57,Completed,Closed
12,AXA-20201230-1113-HSE,CH01,Arik,NGS003,2020-12-30 04:28:09,2020-12-30 04:33:37,2020-12-30 09:14:13,Customers End,Popoola,2020-12-30 05:10:01,Completed,Closed
13,AXA-20201229-1114-HSE,CH01,Arik,NGS003,2020-12-29 22:37:03,2020-12-29 22:39:20,2020-12-30 02:11:30,Customers End,Paul,2020-12-30 05:07:38,Completed,Closed
15,AXA-20201231-1116-HSE,CH01,Bates,NGS004,2020-12-31 10:34:06,2020-12-31 10:43:18,2020-12-31 14:11:40,Routine Service,Sekina,2020-12-31 14:37:33,Completed,Closed
16,AXA-20201231-1117-HSE,CH01,Bates,NGS004,2020-12-31 09:13:03,2020-12-31 09:19:20,2020-12-31 14:31:33,Routine Service,Tunde,2021-01-01 07:26:00,Completed,Closed
17,AXA-20201230-1118-HSE,CH01,Bates,NGS004,2020-12-30 18:19:07,2020-12-30 18:19:12,2020-12-30 20:34:58,Routine Service,Bola,2021-01-02 06:36:00,Completed,Closed
18,AXA-20201229-1119-HSE,CH01,Bates,NGS004,2020-12-29 18:22:04,2020-12-29 18:28:17,2020-12-29 23:59:44,Customers End,John,2020-12-30 17:23:54,Completed,Closed
19,AXA-20201229-1120-HSE,CH01,Bates,NGS004,2020-12-29 15:37:04,2020-12-29 15:43:42,2020-12-29 15:47:07,Customers End,Vitus,2020-12-30 05:50:43,Completed,Closed
20,AXA-20201229-1121-HSE,CH01,Bates,NGS004,2020-12-29 11:52:06,2020-12-29 12:01:18,2020-12-29 12:34:44,Customers End,Goodluck,2020-12-29 23:01:50,Completed,Closed
21,AXA-20201230-1122-WLESS,CH01,Cassava,NGS005,2020-12-30 21:55:03,2020-12-30 21:55:39,2020-12-30 22:06:49,Customers End,Jennifer,2020-12-31 07:53:49,Completed,Closed
22,AXA-20201229-1123-WLESS,CH01,Cassava,NGS005,2020-12-29 23:22:06,2020-12-29 23:29:18,2020-12-30 00:53:06,Customers End,Vitus,2020-12-30 12:11:19,Completed,Closed
23,AXA-20201231-1124-WLESS,CH01,Cassava,NGS006,2020-12-31 04:28:09,2020-12-31 04:36:27,2020-12-31 09:21:46,Customers End,Bola,2020-12-31 21:41:37,Completed,Closed
24,AXA-20201230-1125-WLESS,CH01,Cassava,NGS007,2020-12-30 21:22:03,2020-12-30 21:24:12,2020-12-30 23:51:16,Line damage,Goodluck,2020-12-31 07:54:12,Completed,Closed
26,AXA-20201230-1127-WLESS,CH01,Cassava,NGS001,2020-12-30 18:19:09,2020-12-30 18:26:32,2020-12-30 18:37:52,Routine Service,Tunde,2020-12-31 20:08:45,Completed,Closed
27,AXA-20201229-1128-WLESS,CH01,Cassava,NGS001,2020-12-29 18:58:03,2020-12-29 18:59:22,2020-12-29 21:04:48,Customers End,John,2020-12-30 13:15:37,Completed,Closed
28,AXA-20201231-1129-WLESS,CH01,Cassava,NGS001,2020-12-31 01:34:03,2020-12-31 01:44:22,2020-12-31 03:13:01,Routine Service,John,2020-12-31 21:22:36,Completed,Closed
29,AXA-20201231-1130-WLESS,CH01,Cassava,NGS008,2020-12-31 00:34:03,2020-12-31 00:42:38,2020-12-31 02:04:13,Customers End,Kingsley,2020-12-31 21:26:25,Completed,Closed
30,AXA-20201231-1131-WLESS,CH01,Cassava,NGS009,2020-12-31 23:04:11,2020-12-31 23:12:32,2021-01-01 04:36:11,Line damage,Amelia,2021-01-01 06:24:11,Completed,Closed
31,AXA-20201231-1132-WLESS,CH01,Cassava,NGS009,2020-12-31 18:52:05,2020-12-31 19:01:50,2020-12-31 20:34:38,hardware failure,Amelia,2020-12-31 22:31:58,Completed,Closed
32,AXA-20201231-1133-WLESS,CH01,Cassava,NGS010,2020-12-31 21:28:05,2020-12-31 21:32:19,2021-01-01 00:37:59,Customers End,Boye,2021-01-02 06:33:20,Completed,Closed
33,AXA-20201230-1134-WLESS,CH01,Cassava,NGS010,2020-12-30 21:34:06,2020-12-30 21:34:25,2020-12-31 01:00:04,Customers End,Amelia,2020-12-31 07:54:14,Completed,Closed
34,AXA-20201229-1135-WLESS,CH01,Cassava,NGS010,2020-12-29 20:40:07,2020-12-29 20:45:30,2020-12-30 00:50:53,Customers End,Sheg,2020-12-30 13:06:54,Completed,Closed
35,AXA-20201230-1136-WLESS,CH01,Cassava,NGS011,2020-12-30 18:22:30,2020-12-30 18:24:54,2020-12-30 21:54:26,hardware failure,Amelia,2020-12-30 23:04:29,Completed,Closed
36,AXA-20201230-1137-WLESS,CH02,Cassava,NGS005,2020-12-30 20:38:50,2020-12-30 20:48:33,2020-12-31 01:12:02,Customers End,Goodluck,2020-12-31 07:54:41,Completed,Closed
37,AXA-20201230-1138-WLESS,CH02,Cassava,NGS011,2020-12-30 20:02:27,2020-12-30 20:05:50,2020-12-30 22:35:25,hardware failure,Jonathan,2020-12-30 23:50:45,Completed,Closed
38,AXA-20201231-1139-WLESS,CH01,Cassava,NGS012,2020-12-31 06:10:04,2020-12-31 06:15:49,2020-12-31 07:24:51,Power Loss,Bola,2020-12-31 21:50:09,Completed,Closed
39,AXA-20201230-1140-WLESS,CH01,Cassava,NGS012,2020-12-30 09:37:06,2020-12-30 09:42:29,2020-12-30 11:23:09,Support network failures,Bola,2020-12-30 11:59:21,Completed,Closed
40,AXA-20201229-1141-WLESS,CH02,Cassava,NGS002,2020-12-29 15:19:00,2020-12-29 15:19:07,2020-12-29 18:04:11,Line damage,Amelia,2020-12-29 16:52:57,Completed,Closed
41,AXA-20201229-1142-WLESS,CH02,Cassava,NGS011,2020-12-29 13:05:20,2020-12-29 13:12:32,2020-12-29 14:35:06,Line damage,Jonathan,2020-12-29 14:26:11,Completed,Closed
42,AXA-20201230-1143-WLESS,CH03,Cassava,NGS013,2020-12-30 08:12:26,2020-12-30 08:15:49,2020-12-30 12:55:23,hardware failure,Jonathan,2020-12-30 23:57:59,Completed,Closed
43,AXA-20201230-1144-WLESS,CH04,Cassava,NGS014,2020-12-30 16:30:45,2020-12-30 16:37:26,2020-12-30 21:05:30,Line damage,Atiku,2020-12-30 23:49:40,Completed,Closed
44,AXA-20201229-1145-WLESS,CH05,Cassava,NGS013,2020-12-29 11:31:14,2020-12-29 11:40:52,2020-12-29 16:02:05,Line damage,Kingsley,2020-12-29 14:37:34,Completed,Closed
45,AXA-20201231-1146-WLESS,CH01,Cassava,NGS009,2020-12-31 23:04:18,2020-12-31 23:11:26,2020-12-31 23:35:01,Line damage,Jonathan,2021-01-01 06:22:52,Completed,Closed
46,AXA-20201231-1147-WLESS,CH01,Cassava,NGS009,2020-12-31 18:52:13,2020-12-31 18:57:42,2020-12-31 20:20:03,hardware failure,Amelia,2020-12-31 22:31:29,Completed,Closed
47,AXA-20201231-1148-WLESS,CH01,Cassava,NGS015,2020-12-31 20:49:22,2020-12-31 20:55:52,2021-01-01 01:59:30,Customers End,Sola,2021-01-02 06:14:01,Completed,Closed
48,AXA-20201230-1149-WLESS,CH01,Cassava,NGS015,2020-12-30 21:49:06,2020-12-30 21:55:37,2020-12-31 02:39:18,Customers End,Atiku,2020-12-31 21:17:45,Completed,Closed
49,AXA-20201229-1150-WLESS,CH01,Cassava,NGS015,2020-12-29 23:55:04,2020-12-29 23:58:12,2020-12-30 01:20:24,Customers End,Vitus,2020-12-30 12:13:10,Completed,Closed
50,AXA-20201229-1151-WLESS,CH05,Cassava,NGS002,2020-12-29 15:23:07,2020-12-29 15:27:12,2020-12-29 17:33:39,Line damage,Myers,2020-12-29 16:52:25,Completed,Closed
51,AXA-20201229-1152-HSE,CH05,CenBank,NGS002,2020-12-29 15:28:08,2020-12-29 15:38:30,2020-12-29 16:52:43,Traffic Spikes,Jonathan,2020-12-29 21:32:00,Completed,Closed
52,AXA-20201230-1153-HSE,CH01,Chan,NGS002,2020-12-30 05:13:06,2020-12-30 05:15:19,2020-12-30 08:23:35,Customers End,Sherifat,2020-12-30 17:24:00,Completed,Closed
53,AXA-20201230-1154-HSE,CH01,CL,NGS009,2020-12-30 02:13:08,2020-12-30 02:17:45,2020-12-30 06:30:22,Customers End,Tunde,2021-01-02 06:08:32,Completed,Closed
54,AXA-20201230-1155-HSE,CH01,CL,NGS009,2020-12-30 01:31:14,2020-12-30 01:31:44,2020-12-30 05:42:23,Line damage,Segun,2020-12-30 05:08:49,Completed,Closed
55,AXA-20201231-1156-HSE,CH01,Cho,NGS016,2020-12-31 17:19:04,2020-12-31 17:27:17,2020-12-31 21:07:45,Line damage,Jennifer,2021-01-01 07:03:33,Completed,Closed
56,AXA-20201231-1157-HSE,CH01,Cho,NGS016,2020-12-31 17:04:40,2020-12-31 17:14:56,2020-12-31 18:47:02,Line damage,Kingsley,2021-01-01 07:33:36,Completed,Closed
57,AXA-20201229-1158-HSE,CH01,Dana,NGS007,2020-12-29 17:52:04,2020-12-29 18:02:47,2020-12-29 18:47:50,Customers End,Segun,2020-12-30 00:56:51,Completed,Closed
58,AXA-20201229-1159-HSE,CH01,Dana,NGS007,2020-12-29 15:22:06,2020-12-29 15:23:37,2020-12-29 15:25:46,Customers End,Jonathan,2020-12-29 21:32:31,Completed,Closed
59,AXA-20201229-1160-HSE,CH01,Dana,NGS007,2020-12-29 15:46:11,2020-12-29 15:49:59,2020-12-29 20:16:40,hardware failure,Sekina,2021-01-02 06:24:31,Completed,Closed
62,AXA-20201230-1163-VOICE,CH01,Dan,NGS017,2020-12-30 08:46:03,2020-12-30 08:49:40,2020-12-30 10:23:57,hardware failure,John,2020-12-30 11:59:46,Completed,Closed
63,AXA-20201229-1164-VOICE,CH01,Dan,NGS017,2020-12-29 12:58:04,2020-12-29 13:07:35,2020-12-29 15:32:02,Customers End,Bola,2020-12-30 11:06:02,Completed,Closed
64,AXA-20201231-1165-VOICE,CH01,Dan,NGS005,2020-12-31 19:37:04,2020-12-31 19:47:10,2020-12-31 20:29:40,Customers End,Sola,2021-01-02 06:37:00,Completed,Closed
65,AXA-20201231-1166-VOICE,CH01,Dan,NGS005,2020-12-31 11:37:03,2020-12-31 11:38:23,2020-12-31 12:08:28,Customers End,Fola,2021-01-02 06:47:32,Completed,Closed
66,AXA-20201231-1167-VOICE,CH01,Dan,NGS005,2020-12-31 07:34:07,2020-12-31 07:41:40,2020-12-31 07:47:00,Customers End,Jennifer,2021-01-01 07:32:16,Completed,Closed
67,AXA-20201231-1168-VOICE,CH01,Dan,NGS005,2020-12-31 03:22:04,2020-12-31 03:22:48,2020-12-31 08:48:32,Customers End,Kingsley,2021-01-01 07:25:58,Completed,Closed
68,AXA-20201230-1169-VOICE,CH01,Dan,NGS005,2020-12-30 19:28:06,2020-12-30 19:37:24,2020-12-30 20:11:35,Customers End,Brenda,2020-12-31 07:06:21,Completed,Closed
69,AXA-20201230-1170-VOICE,CH01,Dan,NGS005,2020-12-30 07:19:06,2020-12-30 07:20:49,2020-12-30 12:45:35,Customers End,Bola,2020-12-30 12:41:34,Completed,Closed
70,AXA-20201230-1171-VOICE,CH01,Dan,NGS005,2020-12-30 03:19:03,2020-12-30 03:19:51,2020-12-30 04:20:56,Customers End,Vitus,2020-12-30 06:48:27,Completed,Closed
71,AXA-20201229-1172-VOICE,CH01,Dan,NGS005,2020-12-29 17:52:09,2020-12-29 18:01:40,2020-12-29 20:16:43,Customers End,Sheg,2020-12-30 00:57:46,Completed,Closed
72,AXA-20201229-1173-VOICE,CH01,Dan,NGS005,2020-12-29 13:13:06,2020-12-29 13:13:38,2020-12-29 16:26:59,Customers End,Jonathan,2020-12-29 21:36:57,Completed,Closed
73,AXA-20201231-1174-VOICE,CH01,Dan,NGS007,2020-12-31 19:52:06,2020-12-31 19:56:13,2021-01-01 01:07:28,Routine Service,Mary,2021-01-02 06:35:51,Completed,Closed
74,AXA-20201231-1175-VOICE,CH01,Dan,NGS007,2020-12-31 16:34:04,2020-12-31 16:35:41,2020-12-31 17:12:23,Customers End,Mary,2021-01-02 06:43:59,Completed,Closed
75,AXA-20201231-1176-VOICE,CH01,Dan,NGS007,2020-12-31 10:34:04,2020-12-31 10:38:11,2020-12-31 16:21:33,Customers End,Sekina,2021-01-01 07:17:05,Completed,Closed
76,AXA-20201230-1177-VOICE,CH01,Dan,NGS007,2020-12-30 12:22:03,2020-12-30 12:31:29,2020-12-30 12:40:36,Customers End,John,2020-12-30 14:53:33,Completed,Closed
77,AXA-20201229-1178-VOICE,CH01,Dan,NGS007,2020-12-29 18:37:03,2020-12-29 18:47:36,2020-12-29 21:27:05,Customers End,Sherifat,2020-12-31 14:37:23,Completed,Closed
78,AXA-20201229-1179-VOICE,CH01,Dan,NGS007,2020-12-29 15:07:03,2020-12-29 15:14:46,2020-12-29 16:57:12,Customers End,Vitus,2020-12-30 05:15:10,Completed,Closed
79,AXA-20201231-1180-HSE,CH01,Diamond,NGS006,2020-12-31 14:34:04,2020-12-31 14:36:09,2020-12-31 19:02:31,Customers End,Mary,2021-01-02 06:45:37,Completed,Closed
81,AXA-20201231-1182-HSE,CH01,Lemway,NGS010,2020-12-31 14:43:03,2020-12-31 14:43:28,2020-12-31 16:44:46,Customers End,Sherifat,2021-01-01 07:32:53,Completed,Closed
82,AXA-20201229-1183-HSE,CH01,Lemway,NGS010,2020-12-29 17:13:08,2020-12-29 17:19:13,2020-12-29 21:00:54,Customers End,Sekina,2020-12-30 14:56:55,Completed,Closed
84,AXA-20201231-1185-HSE,CH01,Lemway,NGS010,2020-12-31 11:40:07,2020-12-31 11:50:55,2020-12-31 13:05:27,Customers End,Tunde,2021-01-01 07:16:35,Completed,Closed
